country,name,state-province,alpha_two_code,web_pages,domains
Australia,Engineering Institute of Technology,,AU,['https://www.eit.edu.au/'],['student.eit.edu.au']
Indonesia,Universitas Nusa Putra,,ID,['https://nusaputra.ac.id'],['nusaputra.ac.id']
Turkey,University of Kyrenia,,TR,['https://kyrenia.edu.tr'],"['std.kyrenia.edu.tr', 'kyrenia.edu.tr']"
Ghana,Regent University College of Science and Technology,,GH,['https://regent.edu.gh'],['regent.edu.gh']
Poland,Wroclaw Akademia Biznesu,,PL,['https://wab.edu.pl'],"['student.wab.edu.pl', 'wab.edu.pl']"
India,Atharva College of Engineering,Mumbai,IN,['https://atharvacoe.ac.in'],['atharvacoe.ac.in']
Canada,Toronto Baptist Seminary and Bible College,Ontario,CA,['https://tbs.edu'],['tbs.edu']
Brazil,Universidade Comunitária da Região de Chapecó - Unochapecó,,BR,['https://unochapeco.edu.br'],['unochapeco.edu.br']
United Kingdom,West Herts College,,GB,['https://westherts.ac.uk'],"['student.westherts.ac.uk', 'westherts.ac.uk']"
India,Bhagwan Parshuram Institute of Technology,Delhi,IN,['http://bpitindia.ac.in'],"['bpitindia.edu.in', 'bpitindia.in']"
France,National Institute of Applied Sciences of Toulouse,,FR,['https://insa-toulouse.fr'],['insa-toulouse.fr']
Uganda,Bugema University,Luweero,UG,['https://bugemauniv.ac.ug/'],['bugemauniv.ac.ug']
United Arab Emirates,Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),Abu Dhabi,AE,['https://mbzuai.ac.ae/'],['mbzuai.ac.ae']
Brazil,"Centro Universitário de Brasília, UNICEUB",,BR,['https://www.uniceub.br'],"['sempreceub.com', 'uniceub.br']"
Ukraine,Kharkiv National University,,UA,"['https://karazin.ua', 'http://www.univer.kharkov.ua/']","['student.karazin.ua', 'karazin.ua', 'univer.kharkov.ua']"
Chile,Universidad Técnica Federico Santa María,,CL,['https://usm.cl'],['usm.cl']
France,IÉSEG School of Management,,FR,['https://ieseg.fr'],['ieseg.fr']
China,Sun Yat-Sen University,,CN,['https://sysu.edu.cn'],"['mail2.sysu.edu.cn', 'mail.sysu.edu.cn']"
United Kingdom,Royal Holloway University of London,,GB,['https://rhul.ac.uk'],['rhul.ac.uk']
China,Hunan University,,CN,"['https://www.hnu.edu.cn', 'http://www-en.hnu.edu.cn']","['hnu.edu.cn', 'www-en.hnu.edu.cn']"
United Kingdom,University of Portsmouth,,GB,"['http://www.port.ac.uk/', 'https://myport.port.ac.uk']","['port.ac.uk', 'myport.ac.uk', 'myport.port.ac.uk']"
France,Académie de Paris,,FR,['https://www.ac-paris.fr/'],['ac-paris.fr']
France,Académie d'Aix-Marseille,,FR,['https://www.ac-aix-marseille.fr/'],['ac-aix-marseille.fr']
France,Académie de Créteil,,FR,['https://www.ac-creteil.fr/'],['ac-creteil.fr']
United States,Marywood University,,US,['http://www.marywood.edu'],['marywood.edu']
India,University of Petroleum and Energy Studies,Dehradun,IN,['https://www.upes.ac.in/'],['upes.ac.in']
India,Ashoka University,Haryana,IN,['https://www.ashoka.edu.in'],['ashoka.edu.in']
India,Indian Institute of Information Technology Sri City,Chittoor,IN,['https://www.iiits.ac.in/'],['iiits.in']
